	Date	        Open	High	Low	    Close	Aclose	Volume
52	Oct 11, 2019	232.95	237.64	232.31	236.21	234.31	41,698,900
53	Oct 10, 2019	227.93	230.44	227.30	230.09	228.24	28,253,400
54	Oct 09, 2019	227.03	227.79	225.64	227.03	225.20	18,692,600
55	Oct 08, 2019	225.82	228.06	224.33	224.40	222.60	27,955,000
56	Oct 07, 2019	226.27	229.93	225.84	227.06	225.23	30,576,500
57	Oct 04, 2019	225.64	227.49	223.89	227.01	225.19	34,619,700
58	Oct 03, 2019	218.43	220.96	215.13	220.82	219.04	28,606,500
59	Oct 02, 2019	223.06	223.58	217.93	218.96	217.20	34,612,300
60	Oct 01, 2019	225.07	228.22	224.20	224.59	222.78	34,805,800
61	Sep 30, 2019	220.90	224.58	220.79	223.97	222.17	25,977,400
62	Sep 27, 2019	220.54	220.96	217.28	218.82	217.06	25,352,000
63	Sep 26, 2019	220.00	220.94	218.83	219.89	218.12	18,833,500
64	Sep 25, 2019	218.55	221.50	217.14	221.03	219.25	21,903,400
65	Sep 24, 2019	221.03	222.49	217.19	217.68	215.93	31,190,800
66	Sep 23, 2019	218.95	219.84	217.65	218.72	216.96	19,165,500
67	Sep 20, 2019	221.38	222.56	217.47	217.73	215.98	55,413,100
68	Sep 19, 2019	222.01	223.76	220.37	220.96	219.18	22,060,600
69	Sep 18, 2019	221.06	222.85	219.44	222.77	220.98	25,340,000
70	Sep 17, 2019	219.96	220.82	219.12	220.70	218.93	18,318,700
71	Sep 16, 2019	217.73	220.13	217.56	219.90	218.13	21,158,100
72	Sep 13, 2019	220.00	220.79	217.02	218.75	216.99	39,763,300
73	Sep 12, 2019	224.80	226.42	222.86	223.09	221.30	32,226,700
74	Sep 11, 2019	218.07	223.71	217.73	223.59	221.79	44,289,600
75	Sep 10, 2019	213.86	216.78	211.71	216.70	214.96	31,777,900
76	Sep 09, 2019	214.84	216.44	211.07	214.17	212.45	27,309,400
77	Sep 06, 2019	214.05	214.42	212.51	213.26	211.55	19,362,300
78	Sep 05, 2019	212.00	213.97	211.51	213.28	211.57	23,913,700
79	Sep 04, 2019	208.39	209.48	207.32	209.19	207.51	19,188,100
80	Sep 03, 2019	206.43	206.98	204.22	205.70	204.05	20,023,000
81	Aug 30, 2019	210.16	210.45	207.20	208.74	207.06	21,143,400
82	Aug 29, 2019	208.50	209.32	206.66	209.01	207.33	20,990,500
83	Aug 28, 2019	204.10	205.72	203.32	205.53	203.88	15,938,800
84	Aug 27, 2019	207.86	208.55	203.53	204.16	202.52	25,873,300
85	Aug 26, 2019	205.86	207.19	205.06	206.49	204.83	26,043,600
86	Aug 23, 2019	209.43	212.05	201.00	202.64	201.01	46,818,000
87	Aug 22, 2019	213.19	214.44	210.75	212.46	210.75	22,253,700
88	Aug 21, 2019	212.99	213.65	211.60	212.64	210.93	21,535,400
89	Aug 20, 2019	210.88	213.35	210.32	210.36	208.67	26,884,300
90	Aug 19, 2019	210.62	212.73	210.03	210.35	208.66	24,413,600
91	Aug 16, 2019	204.28	207.16	203.84	206.50	204.84	27,620,400
92	Aug 15, 2019	203.46	205.14	199.67	201.74	200.12	27,227,400
93	Aug 14, 2019	203.16	206.44	202.59	202.75	201.12	36,547,400
94	Aug 13, 2019	201.02	212.14	200.48	208.97	207.29	47,218,500
95	Aug 12, 2019	199.62	202.05	199.15	200.48	198.87	22,474,900
96	Aug 09, 2019	201.30	202.76	199.29	200.99	199.37	24,619,700
97	Aug 08, 2019	200.20	203.53	199.39	203.43	201.03	27,009,500
