	Date	        Open	High	Low	    Close	Aclose	Volume
43	May 04, 2020	289.17	293.69	286.32	293.16	292.37	33,392,000
44	May 01, 2020	286.25	299.00	285.85	289.07	288.29	60,154,200
45	Apr 30, 2020	289.96	294.53	288.35	293.80	293.01	45,457,600
46	Apr 29, 2020	284.73	289.67	283.89	287.73	286.95	34,320,200
47	Apr 28, 2020	285.08	285.83	278.20	278.58	277.83	28,001,200
48	Apr 27, 2020	281.80	284.54	279.95	283.17	282.41	29,271,900
49	Apr 24, 2020	277.20	283.01	277.00	282.97	282.21	31,627,200
50	Apr 23, 2020	275.87	281.75	274.87	275.03	274.29	31,203,600
51	Apr 22, 2020	273.61	277.90	272.20	276.10	275.35	29,264,300
52	Apr 21, 2020	276.28	277.25	265.43	268.37	267.65	45,247,900
53	Apr 20, 2020	277.95	281.68	276.85	276.93	276.18	32,503,800
54	Apr 17, 2020	284.69	286.95	276.86	282.80	282.04	53,812,500
55	Apr 16, 2020	287.38	288.20	282.35	286.69	285.92	39,281,300
56	Apr 15, 2020	282.40	286.33	280.63	284.43	283.66	32,788,600
57	Apr 14, 2020	280.00	288.25	278.05	287.05	286.28	48,748,700
58	Apr 13, 2020	268.31	273.70	265.83	273.25	272.51	32,755,700
59	Apr 09, 2020	268.70	270.07	264.70	267.99	267.27	40,529,100
60	Apr 08, 2020	262.74	267.37	261.23	266.07	265.35	42,223,800
61	Apr 07, 2020	270.80	271.70	259.00	259.43	258.73	50,721,800
62	Apr 06, 2020	250.90	263.11	249.38	262.47	261.76	50,455,100
63	Apr 03, 2020	242.80	245.70	238.97	241.41	240.76	32,470,000
64	Apr 02, 2020	240.34	245.15	236.90	244.93	244.27	41,483,500
65	Apr 01, 2020	246.50	248.72	239.13	240.91	240.26	44,054,600
66	Mar 31, 2020	255.60	262.49	252.00	254.29	253.60	49,250,500
67	Mar 30, 2020	250.74	255.52	249.40	254.81	254.12	41,994,100
68	Mar 27, 2020	252.75	255.87	247.05	247.74	247.07	51,054,200
69	Mar 26, 2020	246.52	258.68	246.36	258.44	257.74	63,021,800
70	Mar 25, 2020	250.75	258.25	244.30	245.52	244.86	75,900,500
71	Mar 24, 2020	236.36	247.69	234.30	246.88	246.21	71,882,800
72	Mar 23, 2020	228.08	228.50	212.61	224.37	223.76	84,188,200
73	Mar 20, 2020	247.18	251.83	228.00	229.24	228.62	100,423,300
74	Mar 19, 2020	247.39	252.84	242.61	244.78	244.12	67,964,300
75	Mar 18, 2020	239.77	250.00	237.12	246.67	246.00	75,058,400
76	Mar 17, 2020	247.51	257.61	238.40	252.86	252.18	81,014,000
77	Mar 16, 2020	241.95	259.08	240.00	242.21	241.56	80,605,900
78	Mar 13, 2020	264.89	279.92	252.95	277.97	277.22	92,683,000
79	Mar 12, 2020	255.94	270.00	248.00	248.23	247.56	104,618,500
80	Mar 11, 2020	277.39	281.22	271.86	275.43	274.69	63,899,700
81	Mar 10, 2020	277.14	286.44	269.37	285.34	284.57	71,322,500
82	Mar 09, 2020	263.75	278.09	263.00	266.17	265.45	71,686,200
83	Mar 06, 2020	282.00	290.82	281.23	289.03	288.25	56,544,200
84	Mar 05, 2020	295.52	299.55	291.41	292.92	292.13	46,893,200
85	Mar 04, 2020	296.44	303.40	293.13	302.74	301.92	54,794,600
86	Mar 03, 2020	303.67	304.00	285.80	289.32	288.54	79,868,900
87	Mar 02, 2020	282.28	301.44	277.72	298.81	298.00	85,349,300
88	Feb 28, 2020	257.26	278.41	256.37	273.36	272.62	106,721,200
89	Feb 27, 2020	281.10	286.00	272.96	273.52	272.78	79,834,500
90	Feb 26, 2020	286.53	297.88	286.50	292.65	291.86	49,513,700
91	Feb 25, 2020	300.95	302.53	286.13	288.08	287.30	57,668,400
92	Feb 24, 2020	297.26	304.18	289.23	298.18	297.38	55,548,800
93	Feb 21, 2020	318.62	320.45	310.50	313.05	312.20	32,388,500
94	Feb 20, 2020	322.63	324.65	318.21	320.30	319.44	25,141,500
95	Feb 19, 2020	320.00	324.57	320.00	323.62	322.75	23,496,000
96	Feb 18, 2020	315.36	319.75	314.61	319.00	318.14	38,132,800
97	Feb 14, 2020	324.74	325.98	322.85	324.95	324.07	20,028,400
98	Feb 13, 2020	324.19	326.22	323.35	324.87	323.99	23,686,900
